cation,anion_family,compound_name,formula,base_formula,hydration,hydration_formula,phase_at_25C,state_description,molar_mass_g_per_mol,DfH0_kJ_per_mol,DfH_298K_kJ_per_mol,DfG_298K_kJ_per_mol,H_H0_298K_kJ_per_mol,S_298K_J_per_molK,Cp_298K_J_per_molK,Cp_mass_J_per_kgK_298K,Tm_C,Tm_K,Tb_C,Tb_K,Td_C,Hfus_kJ_per_mol,Hvap_kJ_per_mol,Hsub_kJ_per_mol,density_g_per_cm3,thermal_conductivity_W_per_mK,viscosity_mPa_s,hardness_Mohs,stability_range_C_min,stability_range_C_max,decomposition_products,Cp_equation_type,Cp_coeff_a,Cp_coeff_b,Cp_coeff_c,Cp_temp_range_K_min,Cp_temp_range_K_max,pressure_kPa,source_thermodynamic,source_physical_properties,source_transition_temps,data_quality,CAS,notes,CID_pubchem,color,odor,solubility,stability,toxicity_hazard,Tm_C_pubchem,Tb_C_pubchem,Td_C_pubchem,density_pubchem,flash_point_C,vapor_pressure_mmHg
Na,pyrophosphate,,Na3HP2O7·6H2O,Na3HP2O7,6-hydrate,6H2O,solid,,352.0132,,-4740.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,carbonate,Sodium carbonate,Na2CO3·H2O,Na2CO3,monohydrate,H2O,solid,G-H-S constraint has been relaxed; see Introduction.,124.0044,-1417.83,-1431.26,-1285.31,26.342,168.11,145.6,1174.1518849331153,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,carbonate,Sodium carbonate,Na2CO3·7H2O,Na2CO3,7-hydrate,7H2O,solid,G-H-S constraint has been relaxed; see Introduction.,232.0968,,-3199.96,-2714.2,,422.2,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,carbonate,Sodium carbonate,Na2CO3·10H2O,Na2CO3,10-hydrate,10H2O,solid,G-H-S constraint has been relaxed; see Introduction.,286.143,-4015.05,-4081.32,-3427.66,88.74,562.7,550.32,1923.2341871022527,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,,NaHC2O4·H2O,NaHC2O4,monohydrate,H2O,solid,,130.0332,,-1384.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,carbonate,trona,NaHCO3·Na2CO3·2H2O,NaHCO3·Na2CO3,dihydrate,2H2O,solid,,226.027,,-2684.9,-2383.37,,301.2,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,nitride,,NaCN·2H2O,NaCN,dihydrate,2H2O,solid,,85.0385,,-679.77,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,,Na2SiO3·5H2O,Na2SiO3,5-hydrate,5H2O,solid,,212.1408,,-3048.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,,Na2SiO3·9H2O,Na2SiO3,9-hydrate,9H2O,solid,,284.2024,,-4228.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,borate,Sodium metaborate,NaBO2·2H2O,NaBO2,dihydrate,2H2O,solid,,101.8304,,-1582.0,-1409.9,,155.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,borate,Sodium metaborate,NaBO2·4H2O,NaBO2,4-hydrate,4H2O,solid,,137.8612,,-2176.0,-1888.0,,230.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,borate,,NaBO3·4H2O,NaBO3,4-hydrate,4H2O,solid,,153.8606,,-2114.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,borate,,NaB5O8·5H2O,NaB5O8,5-hydrate,5H2O,solid,,295.117,,,,,380.12,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,borate,Sodium tetraborate,Na2B4O7·4H2O,Na2B4O7,4-hydrate,4H2O,solid,,273.281,,-4507.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,borate,Sodium tetraborate,Na2B4O7·5H2O,Na2B4O7,5-hydrate,5H2O,solid,,291.2964,,-4802.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,borate,borax,Na2B4O7·10H2O,Na2B4O7,10-hydrate,10H2O,solid,,381.3734,,-6288.6,-5516.0,,586.0,615.0,1612.5928027492216,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,fluoride,,Na3AlF6·3.5H2O,Na3AlF6·3,5-hydrate,5H2O,solid,,272.9952,,-4395.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,sulfate,,NaAl(SO4)2·2H2O,NaAl(SO4)2,dihydrate,2H2O,solid,,278.1253,,-3025.45,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,sulfate,,NaAl(SO4)2·5H2O,NaAl(SO4)2,5-hydrate,5H2O,solid,,332.1715,,-3934.84,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,sulfate,,NaAl(SO4)2·6H2O,NaAl(SO4)2,6-hydrate,6H2O,solid,,350.1869,,-4233.45,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,sulfate,alum.,NaAl(SO4)2·12H2O,NaAl(SO4)2,12-hydrate,12H2O,solid,,458.2793,,-6002.74,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,analcite,NaAlSi2O6·H2O,NaAlSi2O6,monohydrate,H2O,solid,,220.1551,,-3300.8,-3082.6,,234.3,209.91,953.4641713955298,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,sulfate,,Na2Zn(SO4)2·2H2O,Na2Zn(SO4)2,dihydrate,2H2O,solid,,339.5036,,-3014.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,sulfate,,Na2Zn(SO4)2·4H2O,Na2Zn(SO4)2,4-hydrate,4H2O,solid,,375.5344,,-3592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,carbonate,,Na2Cu(CO3)2·3H2O,Na2Cu(CO3)2,trihydrate,3H2O,solid,,283.5846,,-2608.89,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,,NaMnO4·H2O,NaMnO4,monohydrate,H2O,solid,,159.9408,,-1079.14,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,,NaMnO4·3H2O,NaMnO4,trihydrate,3H2O,solid,,195.9716,,-1672.85,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,sulfate,,Na2Mn(SO4)2·2H2O,Na2Mn(SO4)2,dihydrate,2H2O,solid,,329.0716,,-3080.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,,Na2CrO4·4H2O,Na2CrO4,4-hydrate,4H2O,solid,,234.0348,,-2528.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,,Na2CrO4·10H2O,Na2CrO4,10-hydrate,10H2O,solid,,342.1272,,-4281.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,oxide,,Na2Cr2O7·2H2O,Na2Cr2O7,dihydrate,2H2O,solid,,297.9982,,-2574.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Na,sulfate,,Na2Mg(SO4)2·2H2O,Na2Mg(SO4)2,dihydrate,2H2O,solid,,298.4456,,-3389.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,fluoride,Potassium fluoride,KF·2H2O,KF,dihydrate,2H2O,solid,,94.1312,,-1163.621,-1021.49,,155.2,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfide,Potassium sulfide,K2S·2H2O,K2S,dihydrate,2H2O,solid,,146.2988,,-975.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfide,Potassium sulfide,K2S·5H2O,K2S,5-hydrate,5H2O,solid,,200.345,,-1871.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfide,,K2S4·0.5H2O,K2S4·0,5-hydrate,5H2O,solid,,215.4677,,-627.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfide,,K2S4·2H2O,K2S4,dihydrate,2H2O,solid,,242.4908,,-1078.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,oxide,,K2S2O3·H2O,K2S2O3,monohydrate,H2O,solid,,208.3456,,-1464.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,oxide,,K2S2O5·0.5H2O,K2S2O5·0,5-hydrate,5H2O,solid,,231.3367,,-1677.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,oxide,,K2S5O6·1.5H2O,K2S5O6·1,5-hydrate,5H2O,solid,,361.5435,,-2222.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfide,,KHS·0.25H2O,KHS·0,25-hydrate,25H2O,solid,,76.6778,,-337.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,carbonate,,K2CO3·1.5H2O,K2CO3·1,5-hydrate,5H2O,solid,,165.2365,,-1609.2,-1432.5,,203.3,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,oxide,,K2C2O4·H2O,K2C2O4,monohydrate,H2O,solid,,184.2394,,-1644.7,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,oxide,,KHC2O4·H2C2O4·2H2O,KHC2O4·H2C2O4,dihydrate,2H2O,solid,,254.1968,,-2533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,borate,,KB5O8·4H2O,KB5O8,4-hydrate,4H2O,solid,,293.2138,,,,54.844,364.43,330.49,1127.1297599226232,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,borate,,K2B4O7·4H2O,K2B4O7,4-hydrate,4H2O,solid,,305.5054,,,-4134.7,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,fluoride,,K3AlF6·3.5H2O,K3AlF6·3,5-hydrate,5H2O,solid,,321.3318,,-4427.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,KAl(SO4)2·3H2O,KAl(SO4)2,trihydrate,3H2O,solid,,312.2529,,-3381.1,-2974.5,,314.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,KAl(SO4)2·12H2O,KAl(SO4)2,12-hydrate,12H2O,solid,,474.3915,,-6061.8,-5141.0,,687.4,651.03,1372.3475230901058,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,phosphate,,KAl2(PO4)2OH·2H2O,KAl2(PO4)2OH,dihydrate,2H2O,solid,,336.046,,,,49.37,294.68,320.2,952.845741356838,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,phosphate,potassium taranakite,K3H6Al5(PO4)8·18H2O,K3H6Al5(PO4)8,18-hydrate,18H2O,solid,,1342.3099,-18679.0,-18919.2,-17417.3,241.75,3496.2,1482.4,1104.3649458295731,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,K2Zn(SO4)2·2H2O,K2Zn(SO4)2,dihydrate,2H2O,solid,,371.728,,-3037.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,K2Zn(SO4)2·6H2O,K2Zn(SO4)2,6-hydrate,6H2O,solid,,443.7896,,-4234.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,chloride,,K2CuCl4·2H2O,K2CuCl4,dihydrate,2H2O,solid,,319.5868,-1694.06,-1707.1,-1492.7,50.141,355.43,253.232,792.3731518323034,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,K2Cu(SO4)2·0.5H2O,K2Cu(SO4)2·0,5-hydrate,5H2O,solid,,342.8749,,-2361.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,K2Cu(SO4)2·2H2O,K2Cu(SO4)2,dihydrate,2H2O,solid,,369.898,,-2826.7,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,K2Cu(SO4)2·6H2O,K2Cu(SO4)2,6-hydrate,6H2O,solid,,441.9596,,-4023.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,K2Mn(SO4)2·2H2O,K2Mn(SO4)2,dihydrate,2H2O,solid,,361.296,,-3118.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,K2Mn(SO4)2·4H2O,K2Mn(SO4)2,4-hydrate,4H2O,solid,,397.3268,,-3705.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,KCr(SO4)2·1.5H2O,KCr(SO4)2·1,5-hydrate,5H2O,solid,,310.2443,,-2656.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,KCr(SO4)2·6H2O,KCr(SO4)2,6-hydrate,6H2O,solid,,391.3136,,-4006.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,KCr(SO4)2·12H2O,KCr(SO4)2,12-hydrate,12H2O,solid,,499.406,,-5777.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,chloride,,KMgCl3·2H2O,KMgCl3,dihydrate,2H2O,solid,,205.8038,,-1714.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,chloride,carnellite,KMgCl3·6H2O,KMgCl3,6-hydrate,6H2O,solid,,277.8654,,-2945.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,K2Mg(SO4)2·2H2O,K2Mg(SO4)2,dihydrate,2H2O,solid,,330.67,,-3351.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,leonite,K2Mg(SO4)2·4H2O,K2Mg(SO4)2,4-hydrate,4H2O,solid,,366.7008,,-3947.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,schoenite,K2Mg(SO4)2·6H2O,K2Mg(SO4)2,6-hydrate,6H2O,solid,,402.7316,,-4539.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,kainite,KCl·MgSO4·3H2O,KCl·MgSO4,trihydrate,3H2O,solid,,248.9748,,-2640.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,phosphate,,KMgPO4·6H2O,KMgPO4,6-hydrate,6H2O,solid,,266.4778,,,-3240.1,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,K2SO4·CaSO4·H2O,K2SO4·CaSO4,monohydrate,H2O,solid,,328.4226,,-3177.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
K,sulfate,,K2SO4·5CaSO4·H2O,K2SO4·5CaSO4,monohydrate,H2O,solid,,872.989,,-8823.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
