cation,anion_family,compound_name,formula,base_formula,hydration,hydration_formula,phase_at_25C,state_description,molar_mass_g_per_mol,DfH0_kJ_per_mol,DfH_298K_kJ_per_mol,DfG_298K_kJ_per_mol,H_H0_298K_kJ_per_mol,S_298K_J_per_molK,Cp_298K_J_per_molK,Cp_mass_J_per_kgK_298K,Tm_C,Tm_K,Tb_C,Tb_K,Td_C,Hfus_kJ_per_mol,Hvap_kJ_per_mol,Hsub_kJ_per_mol,density_g_per_cm3,thermal_conductivity_W_per_mK,viscosity_mPa_s,hardness_Mohs,stability_range_C_min,stability_range_C_max,decomposition_products,Cp_equation_type,Cp_coeff_a,Cp_coeff_b,Cp_coeff_c,Cp_temp_range_K_min,Cp_temp_range_K_max,pressure_kPa,source_thermodynamic,source_physical_properties,source_transition_temps,data_quality,CAS,notes,CID_pubchem,color,odor,solubility,stability,toxicity_hazard,Tm_C_pubchem,Tb_C_pubchem,Td_C_pubchem,density_pubchem,flash_point_C,vapor_pressure_mmHg
Ni,chloride,Nickel(II) chloride,NiCl2·4H2O,NiCl2,4-hydrate,4H2O,solid,,201.6776,,-1516.7,-1234.9,,243.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ni,chloride,Nickel(II) chloride,NiCl2·6H2O,NiCl2,6-hydrate,6H2O,solid,,237.7084,,-2103.17,-1713.19,,344.3,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ni,sulfate,Nickel(II) sulfate,NiSO4·4H2O,NiSO4,4-hydrate,4H2O,solid,,226.8332,,-2104.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ni,sulfate,Nickel(II) sulfate,NiSO4·6H2O,NiSO4,6-hydrate,6H2O,solid,"α, tetragonal, green",262.864,-2631.263,-2682.82,-2224.61,51.844,334.47,327.86,1247.26094101893,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ni,sulfate,Nickel(II) sulfate,NiSO4·6H2O,NiSO4,6-hydrate,6H2O,solid,"β, monoclinic, blue",262.864,,-2672.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ni,sulfate,Nickel(II) sulfate,NiSO4·7H2O,NiSO4,7-hydrate,7H2O,solid,,280.8794,-2919.051,-2976.33,-2461.83,58.932,378.94,364.59,1298.0304002358307,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ni,oxide,,NiS2O6·6H2O,NiS2O6,6-hydrate,6H2O,solid,,326.9268,,-2976.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Fe,chloride,Iron(II) chloride,FeCl2·2H2O,FeCl2,dihydrate,2H2O,solid,,162.7838,,-953.1,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Fe,chloride,Iron(II) chloride,FeCl2·4H2O,FeCl2,4-hydrate,4H2O,solid,,198.8146,,-1549.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Fe,chloride,Iron(III) chloride,FeCl3·6H2O,FeCl3,6-hydrate,6H2O,solid,,270.2984,,-2223.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
