formula,CID,CAS,color,boiling_point_text,Tb_C_pubchem,melting_point_text,Tm_C_pubchem,solubility,density_text,density_g_per_cm3_pubchem,vapor_pressure_text,vapor_pressure_mmHg_pubchem,decomposition_text,stability,Td_C_pubchem,flash_point_text,flash_point_C_pubchem
CuSO4,24462.0,7758-98-7,Grayish-white to greenish-white rhombic crystals or amorphous powder /SRP: somewhat wet/; White when dehydrated; Gray to white and has rhombic crystals,650 °C (decomp to cupric oxide),650.0,590 °C decomp,590.0,"Very soluble in hot water, soluble cold water; Soluble in methanol (1.1 g/100 ml), but insoluble in ethanol; it readily dissolves in aqueous ammonia and excess alkali metal cyanides, with the formation of complexes; In water, 243 g/l @ 0 °C.; 75.4 g/100 cc water @ 100 °C; 1.04 g/100 cc methanol @ 18 °C; Solubility in water, g/l at 20Â °C: 203 (freely soluble)",3.6 g/cmÂ³,3.6,,,650Â °C. This produces toxic fumes of sulfur oxides (see ICSC 0074). Reacts violently with hydroxylamine. This generates fire hazard. Reacts with magnesium powder. This produces flammable/explosive gas (hydrogen - see ICSC 0001). Reacts with acetylene and potassium chlorate. This generates explosion hazard. Attacks some metals in the presence of water.,,650.0,,
Cu2SO4,134737.0,17599-81-4,,,,,,,,,,,,,,,
CuCN,11009.0,544-92-3,"White monoclinic prisms or green orthorhombic crystals; White to cream-colored powder, colorless or dark green orthorhombic crystals or dark red monoclinic crystals; Pale cream powder",Decomposes,,474 °C,474.0,"Practically insol in water, alcohol, cold dil acids; sol in ammonium hydroxide, sol in alkali cyanide solutions because of formation of stable cyanocuprate(I) ions; Soluble in potassium cyanide solution; insoluble in water and ethanol; Soluble in sodium ... cyanide, hydrochloric acid ... .",2.9,2.9,,,When heated to decomposition it emits very toxic cyanide and nitrogen oxide fumes.,,,,
NiF2,24825.0,10028-18-9,Yellowish to green tetragonal crystals (Rutile type); A light yellow colored powder,,,Sublimes at 1000 °C,1000.0,"Insoluble in ethanol and ethyl ether; Insol in alcohol, ether; 4 g/100 ml water @ 25 °C; Sol in aq hydrogen fluoride; insol in anhydrous hydrogen fluoride",4.72,4.72,,,Toxic gases and vapors (such as nickel carbonyl) may be released ... in the decomp of nickel cmpd. /Nickel & sol nickel cmpd/,,,,
NiCl2,24385.0,7718-54-9,Yellow scales; ... golden yellow; Brown scales; Golden yellow,Sublimes @ 973 °C; deliquesces,973.0,1001 °C,1001.0,"Green, deliquescent crystals or crystal powder, monoclinic, structure reported to be trans-(NiCl2(H2O)4.2H2O, sol in about one part water, in alcohol /Hexahydrate/; Green scales, sol in water, alcohol, and ammonium hydroxide /Hexahydrate/; Soluble in ethanol and ammonium hydroxide, insoluble in ammonia; 64.2 g/100 cc water @ 20 °C; 87.6 g/100 cc water @ 100 °C; SOL IN ETHANOL & AMMONIUM HYDROXIDE; For more Solubility (Complete) data for NICKEL CHLORIDE (8 total), please visit the HSDB record page.",3.51,3.51,1 mm Hg at 671 °C (solid),1.0,Toxic gases and vapors (such as nickel carbonyl) may be released ... in the decomp of nickel cmpd. /Nickel & sol nickel cmpd/,,,,
NiS,120273.0,516-12-1,,,,,,,,,,,,,,,
Ni3S2,25199732.0,12035-72-2,Hexagonal crystals,,,790Â °C,790.0,"less than 1 mg/mL at 70.7 °F (NTP, 1992); INSOL IN COLD WATER; SOL IN NITRIC ACID; Solubility in water, mg/l at 37Â °C: 517 (practically insoluble)",Relative density (water = 1): 5.82,1.0,,,Toxic gases and vapors (such as nickel carbonyl) may be released ... in the decomp of nickel cmpd. /Nickel & sol nickel cmpd/,,,,
Fe2O3,14833.0,1317-60-8,"Brilliant black to blackish red or brick red mineral, brown to cherry red streak and metallic to dull luster /Hematite, red/; Red-brown hexagonal crystals",,,1565 °C,1565.0,"Insol in water; sol in hydrochloric acid, sulfuric acid; slightly sol in nitric acid",5.25,5.25,,,,,,,
FeF2,522690.0,,,,,,,,,,,,,,,,
FeSO4,24393.0,7720-78-7,"White orthorhombic crystals, hygroscopic",> 300 °C,300.0,64,64.0,25.6; White to yellow crystalline powder. Sol in water. Loses water @ about 300 °C; decomp @ higher temp. /Ferrous sulfate monohydrate/; Soluble in water.,"Density 2.970 at 25 °C; off-white, monoclinic crystals. /Ferrous sulfate monohydrate/",2.97,,,When heated to decomposition it emit toxic fumes of /sulfur oxide/.,"In moist air, ferrous sulfate rapidly oxidizes and becomes coated with brownish-yellow ferric sulfate... . The rate of oxidation is increased by the addition of alkali or by exposure to light.",,,
